# ==== Vocabulary ====
the 30550
darken ing 1
forget ful 5
redeem 23
idly 17
esteem 28
rise 97
rest y 3
wrink le 6
gra ven 1
sat ire 4
spoils 12
faster 18
prevent st 1
truant 14
amends 25
neglect 24
dign ified 6
inter mix ed 2
fort 70
office 137
strengthen ed 3
merchand ized 1
esteem ing 1
publish 10
wont 50
philomel 10
front 23
stops 22
pipe 15
pleasant 37
mournful 8
hush 14
wild 92
bur then s 1
b ough 6
appears 64
over goes 1
dull ing 2
sinful 14
striving 10
mar 29
verses 21
gifts 51
ey ed 2
seems 137
three 395
forest s 3
shook 32
springs 16
turned 52
process 18
perfumes 9
j unes 1
burned 8
figure 45
perceived 14
un bred 1
idol at ry 6
idol 9
alike 42
songs 18
wondrous 41
constancy 18
confined 9
express ing 3
difference 42
vary ing 5
them es 2
chronicle 9
wasted 19
descri pt ions 1
wight s 2
beautiful 17
ladies 162
knights 72
blazon 7
lip 38
prophecies 9
pre fig uring 1
looked 69
div ining 2
prophe tic 6
dreaming 11
forfeit 30
e clip se 5
endured 14
augur s 3
presage 8
incertain ties 2
crown 270
proclaims 10
o lives 2
endless 11
drops 58
bal my 3
subscri bes 2
insu lt s 1
tri bes 3
crest s 4
to mbs 5
figure d 3
register 5
express 41
boy 424
prayers 102
divine 54
hallowed 9
weighs 9
necessary 20
aye 18
page 436
bred 57
qualify 8
easy 64
rang ed 4
just 153
ex changed 3
reign ed 7
frail ties 4
kinds 9
preposter ously 4
stained 31
un i verse 2
alas 253
motley 10
g ored 4
sold 41
cheap 17
affections 48
ask ance 4
bl ench es 1
ess ays 1
proved 30
grind 6
ne wer 7
proof 78
try 94
old er 5
next 183
guilty 85
goddess 36
harmful 10
provide 40
breeds 29
receives 16
brand 11
subdued 13
dy ers 1
rene wed 2
patient 90
drink 165
pot ions 6
e ise l 2
bitter 79
penance 19
correct 9
correction 21
assure 57
cure 66
impression 12
scandal 21
stamped 10
oer green 1
strive 41
steeled 7
changes 21
profound 16
a by sm 3
throw 109
voices 54
adders 8
cr it ic 3
flatterer 15
stopped 17
dispense 11
besides 119
gover ns 3
function 17
partly 45
effect ually 2
delivers 10
bird 50
l atch 4
objects 15
vision 18
catch 75
ru dst 2
gent lest 2
deformed st 1
creature 78
dove 25
shapes 31
feature 15
in capable 6
make th 4
monarchs 11
plague 98
saith 12
monsters 18
ind ig est 2
cher ub ins 5
resemble 9
creating 9
beams 26
assem ble 7
kingly 27
drinks 30
gust 7
gree ing 1
palate 11
cup 50
poisoned 9
lesser 32
begin 123
knew 169
reason 307
afterwards 40
reckoning 22
million ed 1
accidents 14
creep 29
vows 73
decrees 12
tan 1
sharp st 2
intents 22
diver t 3
al tring 2
fearing 30
tyranny 38
certain 190
incertain ty 1
crown ing 2
marriage 123
admit 25
impediments 8
alter s 4
alteration 10
b ends 5
re mo ver 1
ever fixed 2
tempest s 6
shaken 5
wandring 11
unknown 48
taken 100
ros y 4
lips 177
sick les 1
compass 34
weeks 8
error 33
accuse 39
scant ed 5
re pay 5
whereto 30
fre qu ent 4
dear purchased 1
ho isted 2
transport 6
wilful ness 2
surmise 8
ac cu mu late 2
level 27
shoot 31
wak ened 2
appeal 20
eager 11
urge 36
prevent 31
malad ies 4
sicken 8
shun 25
sickness 52
purge 23
neer clo y ing 1
sau ces 1
wel fare 6
meet ness 1
dis eased 7
need ing 2
policy 47
t 297
antic ip ate 1
ills 10
medicine 21
healthful 10
goodness 66
cured 12
lesson 8
drugs 11
poison 85
drunk 69
sir en 3
lim be cks 1
foul 260
apply ing 4
hopes 64
committed 40
spheres 11
fitted 14
distraction 13
mad ding 4
fever 25
built 17
rebu ked 1
unkind 30
be friends 1
transgression 9
nerves 8
hammer ed 2
unkindness 24
y have 1
weigh 43
suffered 25
deep est 6
hard 180
hits 11
tend ered 2
wounded 41
fits 49
becomes 70
fee 39
ran soms 3
reproach 25
feeling 37
adulter ate 6
salutation 8
sport ive 5
frail er 1
spies 16
wills 36
abuses 14
reckon 8
be vel 1
maintain 44
bad ness 4
tables 16
charact ered 4
lasting 17
beyond 68
facul ty 2
sub s ist 1
oblivion 17
missed 5
ret ent ion 4
tall ies 1
score 30
bold 154
receive 102
import 19
forget fulness 6
pyra mid s 2
no vel 1
dress ings 2
d ates 5
admire 9
fo ist 1
rather 336
heard 381
register s 1
defy 31
wond ring 5
record s 5
continual 15
gathered 8
build ed 3
accident 23
suffers 12
smiling 36
pomp 33
falls 94
blow 104
thra lled 1
discontent 19
invit ing 6
heretic 7
le ases 2
short number ed 1
huge ly 2
politic 16
drown s 6
fools 124
weret 13
bore 35
exter n 2
honour ing 2
laid 103
bas es 3
ru ining 1
dwell ers 1
paying 12
rent 11
compound 19
for going 1
savour 9
pitiful 32
th rivers 1
gazing 18
o bl ation 1
mix ed 4
second s 6
render 43
suborn ed 4
in former 2
im pe ached 2
fickle 15
wan ing 6
show st 3
wither ing 3
over 172
wrack 26
goest 15
on wards 1
minion 17
detain 9
delay ed 1
answered 36
quiet us 2
counted 9
success ive 5
sland ered 4
fair ing 1
borrowed 16
bower 9
profaned 8
raven 17
suited 8
mour ners 5
slander ing 2
becoming 8
play st 2
wood 98
fingers 47
gently 39
sway st 1
wi ry 2
jacks 7
kiss 225
harvest 19
reap 14
woods 23
boldness 16
tick led 6
sit uation 2
dancing 20
ch ip s 1
walk 129
gait 37
lust 75
perjured 19
savage 34
extreme 15
enjoy ed 7
sooner 64
hunt ed 7
hated 30
swallowed 16
bait 19
ta ker 3
mad 259
pursuit 20
bliss 22
pro posed 7
cor al 7
snow 40
breasts 14
dun 5
hairs 36
wi res 2
dam asked 1
ree ks 1
sound 234
treads 11
belied 8
tyrannous 14
proudly 11
doting 17
err 16
swear 262
groans 44
neck 80
judgements 10
proceeds 9
pity ing 6
disdain 43
ruth 5
grey 91
east 42
us hers 2
sober 19
mourning 22
become 153
beseem 6
suit 148
herself 114
beshrew 34
sla very 5
sweet st 5
harder 13
eng ros sed 5
for sa ken 6
threefold 10
crossed 10
prison 125
ward 18
whoeer 10
rigour 9
gaol 9
perforce 48
confessed 12
mort g aged 1
restore 20
covetous 9
learned 77
surety like 1
bond 75
fist 12
bind 46
stat ute 4
put st 2
sue 28
came 366
debtor 12
whole 131
whoever 15
boot 32
over pl us 3
spacious 14
acceptance 10
ad deth 1
beseech ers 1
admitted 14
loves u it 3
ful fil 7
receipt 15
reckon ed 3
unto ld 3
corrupt 31
over partial 1
anchor ed 2
bay 30
forged 12
hook s 4
tied 33
several 97
plot 53
er red 3
trans fer red 1
swears 31
unt ut ored 4
un learned 4
subt let ies 2
vainly 12
simply 12
credit 58
fal ses pe aking 2
sides 49
sup pressed 3
unjust 25
habit 42
flattered 13
justify 10
slay 32
need st 6
oer pressed 2
dart 10
out right 5
rid 35
press 36
manner 84
pity wanting 1
testy 9
news 325
physicians 11
madness 72
ill wrest ing 1
slander ers 2
ears 186
believed 11
despise 23
pleased 62
dote 31
tune 70
delight ed 6
pr one 7
invited 10
senses 39
dissu ade 7
foolish 100
un sway ed 2
likeness 25
a wards 3
merits 14
repro ving 2
scarlet 14
ornaments 12
sealed 15
robbed 14
beds 29
reven ues 7
r ents 5
woo 82
importune 13
deserve 68
pitied 19
sel fe x ample 1
denied 59
hus wife 7
runs 50
feather ed 2
broke 89
dispatch 69
neglected 17
chase 40
busy 30
follow 317
priz ing 1
infants 14
run st 1
afar 20
pray 779
loud 72
crying 38
suggest 8
angel 58
worser 21
coloured 6
female 19
temp teth 2
saint 129
devil 228
wooing 27
purity 12
fiend 66
directly 35
doubt 186
breathed 22
langu ished 1
woeful 40
mercy 190
chiding 13
followed 47
flown 7
threw 31
saved 33
saying 59
centre 13
rebel 28
powers 84
array 15
dearth 12
costly 12
inherit ors 2
excess 16
charge 219
servants 118
ag gra vate 5
buy 106
sell ing 3
d ross 5
fed 38
feed 96
theres 408
dying 55
longing 24
nurse th 1
disease 30
preserve 32
uncertain 11
sickly 20
physician 39
angry 107
prescri pt ions 3
desperate 62
except 46
frantic mad 1
unrest 8
discourse 64
r and om 5
sworn 138
cor res pond ence 1
c ens ures 4
falsely 17
aright 8
den o te 5
vex ed 6
watching 11
marvel 38
mistake 43
sees 62
cle ars 7
keepst 8
well seeing 1
partake 8
all tyrant 1
hate th 4
frown st 1
fawn 14
lour st 1
revenge 160
service 232
worship 95
commanded 41
in suffic iency 2
bright ness 3
refuse 33
warrant ise 1
exceeds 12
abhor 23
un worthiness 5
raised 17
conscience 130
cheat er 6
betray ing 2
nobler 20
treason 98
stays 40
rising 24
dru dge 7
twice 75
swearing 26
act 518
bed vow 1
torn 16
vow ing 3
oaths 73
breach 38
twenty 153
misuse 8
honest 304
en light en 1
blind ness 5
cupid 38
asleep 62
maid 204
dians 7
love kind ling 1
quickly 217
steep 12
valle y fountain 1
endure 79
see thing 2
bath 8
new fire d 1
trial 63
touch 127
withal 150
thither 98
hi ed 1
distemper ed 6
love god 1
lying 32
heart in flaming 1
nymphs 15
vowed 16
chaste 51
tripping 7
vo t ary 4
legions 20
war med 7
sleeping 54
virgin 42
dis armed 1
qu enched 3
cool 36
thra ll 7
he ats 3
cool s 6
scene 1631
rossillon 33
countesss 16
palace 297
ii 433
paris 167
iii 372
iv 292
v 214
florence 31
dukes 93
vi 78
camp 127
vii 52
florentine 17
mar se illes 5
street 148
in ner 2
court 280
dramatis 38
person 193
france 425
duke 1142
bertram 136
lafew 118
parolles 173
follower 17
french 228
serve 195
ry naldo 3
countess 121
clown 365
helena 198
gentlewoman 67
protected 8
diana 79
daughter 538
violent a 2
neighbour 50
mariana 46
officers 93
soldiers 245
c 51
tus can y 1
enter 2408
deliver ing 4
bury 49
madam 526
fathers 284
majestys 14
command 182
sub jection 7
sir 2976
generally 12
necessity 39
stir 87
wanted 8
amend ment 4
aband ond 4
practices 13
per secut ed 1
father o 1
passage 39
tis whose 1
honesty 92
stretchd 7
famous 32
profession 21
ger ard 3
de 125
nar bon 3
lately 32
spoke 159
admir ingly 2
mourning ly 1
skilful 7
livd 33
languish es 2
fist u la 1
notorious 15
bequea thed 5
over looking 3
education 10
promises 24
dispos itions 5
inher its 2
unclean 5
carries 26
qualities 29
commendations 14
virtues 67
traitors 73
sim pl eness 5
deri ves 5
achie ves 1
brine 11
season 46
approaches 15
live lihood 3
affect 25
moderate 8
lamentation 11
excess ive 2
enemy 167
wishes 39
understand 103
succeed 16
empire 18
birth right 5
che ckd 3
tax d 3
speech 137
furnish 21
un seas ond 2
courtier 35
advise 41
bless 110
exit 1041
for gd 2
comfortable 13
lady 948
exeunt 1095
shed 59
imagination 31
int 70
ber tra ms 1
undone 60
twere 133
particular 56
wed 43
radi ance 3
collat eral 2
comforted 7
sphere 10
th ambition 1
itself 258
hind 13
m ated 7
lion 98
twas 174
ar ched 3
brows 48
haw king 4
table heart 1
capable 15
trick 53
idol at rous 1
fancy 55
sanct ify 4
re lic s 5
liar 13
solely 9
fixd 18
evils 27
fit 180
ste ely 2
ble ak 5
superfluous 17
monarch 17
medit ating 5
virginity 28
soldier 270
ask 180
bar ri ca do 2
assa ils 3
valiant 155
unfold 31
warlike 65
resist ance 6
setting 25
under mine 3
under min ers 1
blo wer sup 1
military 9
virgins 13
blown 42
quick lier 1
marry 376
blowing 10
yourselves 76
city 146
commonwealth 28
r ation al 2
metal 26
companion 41
rule 53
in fall ible 5
disobedience 8
hangs 43
murders 22
high ways 2
sanctified 7
offend ress 1
mit es 1
cheese 13
consum es 2
par ing 2
stomach 45
peevish 30
in hi bit ed 2
canon 7
by t 6
with t 7
principal 11
liking 32
likes 29
commodity 20
gloss 17
v end ible 2
request 68
wears 45
cap 50
un suit able 2
broo ch 6
tooth pick 2
pie 10
porridge 9
witherd 20
pe ars 1
eats 24
dri ly 1
pear 6
formerly 9
anything 133
guide 28
counsellor 16
trait ress 1
ambition 46
humility 17
jar ring 4
discord 20
dul cet 6
dis a ster 6
ado p ti ous 1
christen doms 1
bl inking 2
gossips 9
courts 10
learning place 1
poor er 5
baser 14
shut 58
effects 31
returns 20
monsieur 54
helen 75
charitable 20
especially 19
predomin ant 5
ret ro gra de 2
running 29
pro poses 1
safety 74
valour 108
business 248
ac ute ly 1
instruction 15
nat ura li ze 1
courtiers 18
counsel 132
advice 50
un thankfulness 4
uses 19
remedies 9
ourselves 117
as cri be 3
f ated 5
pull 12
designs 11
mounts 7
might iest 7
native 43
impossible 40
attempt s 7
pains 93
stro ve 4
miss 26
disease my 1
cornets 25
letters 131
flor ent ines 2
sen o ys 1
fought 70
continue 34
bra ving 5
reported 17
cre di ble 1
certainty 8
vouch d 3
cousin 310
austria 25
ca ution 5
speedy 20
pre jud ic ates 1
denial 11
appro vd 6
am pl est 2
cred ence 3
armd 25
mean 291
tus can 2
freely 62
nur ser y 5
gentry 16
breathing 27
exploit 16
composd 9
moral 25
corporal 22
sound ness 1
friendship 48
tried 25
soldiership 9
disci pled 1
bra vest 4
last ed 2
ha gg ish 1
wore 31
repair s 3
talk 219
observe 35
jest 108
un noted 3
le vity 4
contempt 47
sharp ness 4
awakd 8
minute 40
except ion 5
obey d 2
below 58
usd 24
bowd 8
emin ent 5
humbled 10
younger 36
demon strate 5
go ers 1
appro of 4
royal 224
pla us ive 3
scatter d 6
gra fted 5
bear let 1
began 45
cat ast ro phe 4
heel 16
pastime 15
out let 1
quoth 116
lacks 16
oil 15
snuff 8
apprehen s ive 3
jud gments 5
mere 65
const ancies 1
fashions 9
wishd 20
wax 31
dissol ved 5
hive 8
labour ers 1
youre 59
lovd 79
knowt 17
famd 7
six 61
months 43
arm the 1
worn 38
app lic ations 1
sons 195
steward 35
calendar 9
endeavours 9
modesty 54
clear ness 3
deserving s 6
does 349
knave 167
sirrah 149
complaints 9
slo wness 2
ability 8
kna ver ies 4
fellow 311
damned 74
ladyship s 7
is bel 2
beg 105
is bel s 3
her it age 2
bar nes 3
requires 16
driven 21
drives 17
worships 21
wicked 70
wickedness 11
wifes 29
yare 20
shallow 262
knaves 52
aweary 9
spar es 4
te am 7
crop 10
cuckold 28
comforts 27
cher isher 1
cherish es 1
er go 7
kisses 50
char bon 1
pur itan 7
po ys am 1
pa p ist 1
how some er 2
sever d 6
religion 16
heads 120
j owl 1
horns 66
deer 42
foul mouth d 1
cal umn ious 3
prophet 15
ballad 15
repeat 18
destiny 22
cuckoo 20
grecians 8
sack ed 2
troy 113
priams 23
sighed 9
stood 109
sentence 43
pu ri f y ing 1
ti the woman 1
parson 17
blaz ing 2
earth quake 7
twould 30
lot ter y 3
youll 165
sur p lice 2
gown 52
forsooth 47
hither 307
entirely 9
bequeath d 2
law fully 4
ow ing 2
shell 53
demand 63
communic ate 3
touchd 32
stranger 58
estates 8
extend 17
knight 165
surpr isd 4
rescue 30
assault 17
afterward 9
deliverd 19
eer 88
exclaim 11
speedily 13
acquaint 22
si thence 2
happen 8
concerns 23
dis chargd 4
honest ly 7
likelihood s 4
informd 13
tot tering 3
balance 11
mis doubt 6
st all 3
further 204
ours 94
thorn 12
impress d 2
remembr ances 5
ont 97
honourable 133
methought 47
serpent 25
cat alogue 4
en wo m bed 1
ado ption 4
strives 11
choice 78
slip 24
foreign 29
seeds 9
oppress d 5
gods 494
cur d 5
messenger 357
many colourd 2
iris 11
round s 5
brother 578
honoured 27
parents 18
sister 208
c ant 2
yes 247
daughter inlaw 3
shield 32
pulse 10
catch d 2
fond ness 3
mystery 17
l one liness 1
salt 46
ashamd 14
proclamation 22
t one 1
th other 5
behavi ours 6
hellish 8
obst in acy 2
suspected 8
cle w 1
for swe art 2
howeer 13
a vail 4
dis close 4
affection 81
passions 22
appe ach d 1
knee 66
so s 1
offended 48
hurts 16
token 32
presum ptuous 5
vain 92
capti ous 1
inte e ma ble 1
sie ve 4
pour 39
waters 32
indian like 1
worship per 2
encounter 53
aged 32
cites 2
chaste ly 3
dian 21
seeks 30
search 52
imp lies 1
riddle like 1
intent speak 1
provd 12
reading 36
manifest 13
experience 21
collected 14
sovereignty 25
willd 5
heed full st 1
reser vation 5
notes 24
faculties 9
incl us ive 2
amongst 42
languish ings 1
render d 7
motive 16
conversation 10
school s 5
em bo well d 3
do ct r ine 7
danger 109
greatst 8
luck iest 1
success 53
id 65
venture 34
well lost 1
believet 8
knowing ly 2
attendants 155
greetings 9
attempt 36
taking 44
princi ples 1
stretch 19
receivd 25
well ent red 1
malady 11
frenchmen 13
higher 38
italy 35
bated 8
monarch y see 1
quest ant 1
shrink s 4
bidding 27
girls 14
beware 30
captives 9
warn ings 2
farewell come 1
retires 19
couch 23
spark 12
admirable 15
coil 12
tot 90
bravely 39
fore horse 2
smock 8
cre aking 2
shoes 18
bought 54
dance 88
parting 31
tort urd 2
hero es 2
kin 35
sparks 10
lu strous 2
metal s 3
regiment 8
spin ii 1
sp urio 2
cic at rice 3
em ble m 2
sin ister 7
entr ench d 1
reports 20
no vices 2
restra ind 4
express ive 1
muster 17
dil ated 3
fellows 78
sinew y 4
sword men 1
kneeling 23
tidings 56
has 452
kne eld 2
pate 29
askd 12
ac ross 7
infirmity 18
grapes 9
fox 35
reach 31
quicken 9
rock 40
can ary 6
sprightly 8
ar a ise 1
pip pen 1
char le main 2
ins 19
love line 1
doctor 149
arrivd 17
serious ly 5
convey 37
deliverance 10
sex 22
amazd 23
laugh 91
admiration 14
took st 2
pro lo gues 3
ways 85
wings 64
traitor 139
cressid s 6
uncle 197
fare 137
profess 27
spare 67
receipt s 1
chiefly 16
practice 47
bade 49
tri ple 4
safer 19
malignant 7
appli ance 5
hum bleness 7
credulous 10
doctors 10
con greg ated 2
colle ge 3
concluded 16
ina id able 1
estate 54
judgment 42
pro stit ute 2
past cure 1
em pir ic s 1
dis sever 2
senseless 30
enforce 36
humbly 62
entreat ing 2
modest 51
calld 99
grateful 5
thought st 2
peril 43
fin isher 1
weak est 5
minister 41
babes 26
judges 13
floods 11
sour ces 1
dried 16
mir acles 7
expectation 27
fails 9
cold est 4
pr offers 2
reward 39
inspired 9
barrd 8
square 18
presum ption 6
exper iment 2
im post or 4
proclaim 44
aim 44
confident 19
hop st 3
lend ing 4
tor cher 1
di urn al 1
ring 166
mur k 1
oc c ident al 1
dam p 2
moist 13
hes per us 1
quench d 5
sleepy 10
lamp 11
pi lots 4
infirm 4
confidence 16
darst 48
tax 17
impud ence 4
strumpet s 4
div ul ged 2
tra du cd 3
odious 10
ball ads 5
maidens 14
se ard 2
otherwise 38
extend ed 6
ended 37
organ 6
im possibility 4
sa ves 6
rate 32
courage 78
happiness 64
hazard 46
int imate 3
infinite 40
monstrous 65
pract is er 2
ministers 23
fl inch 3
property 18
un pitied 4
helping 8
sceptre 29
exempt ed 1
arrog ance 6
prop agate 4
branch 16
pre mis es 3
ob servd 5
performance 17
servd 16
resolvd 18
re ly 5
camst 31
tend ed 4
un question d 1
un doubted 4
blessd 15
ho 202
deed 167
match 84
breeding 28
highly 15
lowly 14
lent 36
easily 32
leg 40
off s 2
precise ly 6
bountiful 8
questions 19
bar bers 7
chair 41
but to cks the 1
pin but tock 1
qu atch but tock 1
bra wn but tock 1
but tock 4
gro ats 5
attorney 8
taff ety 1
p unk 4
ti bs 1
rush 21
toms 8
fore finger 2
pan ca ke 1
sh ro vet uesday 1
morris 6
may day 2
nail 12
hole 27
horn 35
scold ing 6
que an 4
wrangling 8
nun s 5
friars 5
mouth 135
pud ding 5
skin 23
fitness 10
beneath 22
constable 85
size 12
demands 19
harm 98
hoping 8
wiser 16
putting 22
thick 39
homely 16
meat 74
warrant 186
whi ppd 6
whipping 9
house wife 7
merrily 23
there t 1
serves 40
commendation 9
employment 21
fruit fully 2
legs 78
severally 22
philoso ph ical 1
persons 26
super natural 2
cau seless 4
terr ors 6
ens con cing 1
submit 12
rarest 11
shot 50
latter 19
rel in qu ishd 1
art ists 1
g alen 5
par ace ls us 1
au then tic 4
incu rable 4
hel ped 5
assurd 18
no vel ty 3
dolph in 4
lust ier 3
tedious 49
fa cin er ious 1
deb ile 2
tran sc end ence 1
re co v ry 1
thankful 22
lust i que 1
dutch man 4
tooth 23
cor an to 2
mor 1
du 3
vin ager 1
attendant 38
preser ver 3
pat i ents 4
banishd 30
repe ald 1
confirmation 8
promisd 30
attends 22
parcel 15
bache l ors 3
besto wing 5
election 21
cur tal 4
furn it ure 5
boys 111
peruse 15
address es 2
rest ord 4
wealth iest 1
protest 55
blushes 15
whisper 35
refused 8
shun s 5
altar 24
imperial 24
stream 37
ames ace 1
flames 15
threatning ly 1
replies 10
turk 17
eunuch s 2
afraid 43
ice 19
theyll 49
bastards 18
em 216
gra pe 6
dr ank 3
wine 88
beest 11
ass 89
fourteen 25
gu iding 3
shes 175
liege 137
beseech 232
highness 191
raisd 13
ra ising 6
disdain st 1
build 24
bloods 18
pour d 5
distinction 10
differ ences 7
mighty 118
dis li kst 2
daughter thou 1
lowest 8
do ers 7
add itions 5
swells 11
drop si ed 1
vil eness 1
immediate 17
honours 113
challeng es 1
